Unnamed: 0,Locations,capacity_solar,cf_solar,reg_mult_solar,capacity_wind,cf_wind,reg_mult_wind,latitude,longitude,county,capacity_geo,cf_geo,state,reg_mult,trans_dist_orig,trans_dist,telecom_dist,water_price,FIPS,clim_zone,state_id
53109,75017,4198.0,0.32,0.91,300.0,0.54,0.99,31.91,-100.77,Coke,0.0,0.0,Texas,0.91,47.52,386.5,28.78,3.7857142857142856,48081,3B,48
53110,75018,4062.8,0.32,0.91,270.0,0.43,0.99,31.91,-100.64,Coke,0.0,0.0,Texas,0.91,54.34,386.86,14.78,3.7857142857142856,48081,3B,48
53111,75019,3460.9,0.31,0.91,258.0,0.33,0.99,31.92,-100.52,Coke,0.0,0.0,Texas,0.91,61.68,387.05,2.63,3.7857142857142856,48081,3B,48
53112,75020,4216.45,0.31,0.91,282.0,0.37,0.99,31.92,-100.39,Coke,0.0,0.0,Texas,0.91,68.45,387.43,11.39,3.7857142857142856,48081,3B,48
53113,75021,4147.48,0.32,0.91,264.0,0.38,0.99,31.93,-100.26,Coke,0.0,0.0,Texas,0.91,75.62,388.09,6.87,3.7857142857142856,48081,3B,48
53114,75022,4173.36,0.32,0.91,276.0,0.42,0.99,31.93,-100.14,Runnels,0.0,0.0,Texas,0.91,82.92,388.87,19.18,3.7857142857142856,48399,3B,48
53115,75023,4139.3,0.31,0.91,282.0,0.43,0.98,31.94,-100.01,Runnels,0.0,0.0,Texas,0.91,89.94,389.93,7.19,3.7857142857142856,48399,3B,48
53116,75024,4078.8,0.31,0.91,276.0,0.45,0.98,31.94,-99.88,Runnels,0.0,0.0,Texas,0.91,97.1,391.19,7.68,3.7857142857142856,48399,3B,48
53117,75025,4120.29,0.31,0.91,294.0,0.52,0.98,31.94,-99.75,Runnels,0.0,0.0,Texas,0.91,79.41,392.63,9.21,3.7857142857142856,48399,3B,48
53118,75026,4140.14,0.31,0.91,288.0,0.55,0.98,31.95,-99.63,Coleman,0.0,0.0,Texas,0.91,86.58,394.27,6.82,3.7857142857142856,48083,3B,48
53119,75027,4169.52,0.31,0.91,300.0,0.52,0.98,31.95,-99.5,Coleman,0.0,0.0,Texas,0.91,94.02,396.19,15.47,3.7857142857142856,48083,3B,48
53120,75028,4157.45,0.31,0.91,288.0,0.48,0.98,31.96,-99.37,Coleman,0.0,0.0,Texas,0.91,101.08,398.2,14.76,3.7857142857142856,48083,3B,48
53121,75029,4092.89,0.31,0.91,276.0,0.49,0.98,31.96,-99.24,Coleman,0.0,0.0,Texas,0.91,108.24,400.41,21.73,3.7857142857142856,48083,3B,48
53125,75033,4174.31,0.3,0.9,294.0,0.49,0.98,31.97,-98.73,Comanche,0.0,0.0,Texas,0.9,104.96,411.31,14.65,3.7857142857142856,48093,3B,48
53126,75034,4070.85,0.3,0.9,294.0,0.44,0.98,31.98,-98.61,Comanche,0.0,0.0,Texas,0.9,98.09,414.45,6.98,3.7857142857142856,48093,3B,48
53127,75035,3500.83,0.3,0.9,282.0,0.41,0.97,31.98,-98.48,Comanche,0.0,0.0,Texas,0.9,92.75,417.78,16.84,3.7857142857142856,48093,3B,48
53128,75036,4162.54,0.3,0.9,288.0,0.48,0.97,31.98,-98.35,Comanche,0.0,0.0,Texas,0.9,85.65,421.31,12.3,3.7857142857142856,48093,3B,48
53129,75037,4152.73,0.3,0.9,294.0,0.5,0.97,31.98,-98.22,Erath,0.0,0.0,Texas,0.9,85.12,425.02,18.59,3.7857142857142856,48143,3B,48
53130,75038,4156.99,0.3,0.9,294.0,0.49,0.97,31.98,-98.1,Erath,0.0,0.0,Texas,0.9,79.25,428.78,8.53,3.7857142857142856,48143,3B,48
53131,75039,4113.68,0.29,0.9,282.0,0.47,0.97,31.99,-97.97,Bosque,0.0,0.0,Texas,0.9,72.32,432.79,6.86,3.7857142857142856,48035,2B,48
53132,75040,4062.84,0.29,0.9,282.0,0.48,0.97,31.99,-97.84,Bosque,70.01,0.99,Texas,0.9,65.85,436.94,12.56,3.7857142857142856,48035,2B,48
53133,75041,4048.58,0.29,0.9,288.0,0.47,0.97,31.99,-97.71,Bosque,182.49,0.99,Texas,0.9,60.65,441.2,8.16,3.7857142857142856,48035,2B,48
53134,75042,4122.22,0.29,0.9,282.0,0.49,0.97,31.99,-97.58,Bosque,237.28,0.99,Texas,0.9,57.03,445.69,4.25,3.7857142857142856,48035,2B,48
53135,75043,2766.37,0.29,0.9,264.0,0.44,0.97,31.99,-97.46,Bosque,101.73,0.99,Texas,0.9,56.32,450.21,11.53,3.7857142857142856,48035,2B,48
53136,75044,3897.9,0.29,0.9,270.0,0.45,0.97,32.0,-97.33,Hill,49.35,0.99,Texas,0.9,50.16,454.96,3.51,3.7857142857142856,48217,6B,48
53137,75045,3433.6,0.29,0.9,288.0,0.46,0.97,32.0,-97.2,Hill,41.1,0.99,Texas,0.9,47.38,459.76,9.06,3.7857142857142856,48217,6B,48
53138,75046,3971.79,0.29,0.9,282.0,0.5,0.97,32.0,-97.08,Hill,133.14,0.99,Texas,0.9,46.64,464.71,5.78,3.7857142857142856,48217,6B,48
53139,75047,4139.92,0.29,0.9,294.0,0.47,0.97,32.0,-96.95,Hill,56.03,0.99,Texas,0.9,57.39,469.81,4.27,3.7857142857142856,48217,6B,48
53140,75048,3970.22,0.29,0.9,276.0,0.45,0.97,32.0,-96.82,Navarro,96.26,0.99,Texas,0.9,54.8,474.99,6.41,3.7857142857142856,48349,3B,48
53141,75049,3775.72,0.28,0.89,288.0,0.45,0.96,32.0,-96.69,Navarro,91.9,0.99,Texas,0.89,41.88,480.3,8.33,3.7857142857142856,48349,3B,48
53142,75050,3911.07,0.28,0.89,288.0,0.44,0.96,32.0,-96.56,Navarro,130.95,0.99,Texas,0.89,44.34,485.79,6.32,3.7857142857142856,48349,3B,48
53143,75051,3627.35,0.28,0.89,270.0,0.44,0.96,32.0,-96.44,Navarro,195.62,0.99,Texas,0.89,47.21,491.26,10.52,3.7857142857142856,48349,3B,48
53144,75052,3029.09,0.28,0.89,264.0,0.43,0.96,32.0,-96.31,Navarro,206.03,0.99,Texas,0.89,50.06,496.94,13.01,3.7857142857142856,48349,3B,48
53145,75053,1875.33,0.28,0.89,210.0,0.43,0.96,32.0,-96.18,Navarro,104.33,0.99,Texas,0.89,10.91,502.65,18.59,3.7857142857142856,48349,3B,48
53155,75063,3755.56,0.27,0.89,264.0,0.37,0.96,32.0,-94.9,Rusk,295.27,0.99,Texas,0.89,37.94,466.5,27.47,3.7857142857142856,48401,6A,48
53156,75064,3842.29,0.27,0.89,276.0,0.38,0.96,32.0,-94.78,Rusk,315.84,0.99,Texas,0.89,35.4,463.19,24.0,3.7857142857142856,48401,6A,48
53157,75065,3899.57,0.27,0.89,264.0,0.39,0.96,32.0,-94.65,Rusk,392.53,0.99,Texas,0.89,36.93,460.07,24.95,3.7857142857142856,48401,6A,48
53167,75075,2774.26,0.26,0.9,258.0,0.33,0.96,31.97,-93.37,Red River,65.25,0.99,Louisiana,0.9,33.76,436.5,72.2,3.7857142857142856,48387,3B,48
53168,75076,2698.71,0.26,0.9,270.0,0.35,0.96,31.97,-93.25,Red River,233.05,0.99,Louisiana,0.9,36.89,434.91,85.22,3.7857142857142856,48387,3B,48
53262,75338,0.0,0.0,0.0,0.0,0.0,1.03,31.28,-108.22,Hidalgo,0.0,0.0,New Mexico,1.03,345.79,622.49,195.38,3.7857142857142856,48215,3B,48
53263,75354,1533.53,0.35,0.94,168.0,0.27,1.02,31.47,-106.21,El Paso,87.6,0.99,Texas,0.94,29.6,519.57,5.93,3.7857142857142856,48141,5B,48
53264,75355,4202.35,0.35,0.94,306.0,0.29,1.02,31.48,-106.08,El Paso,409.98,0.99,Texas,0.94,28.5,513.81,4.79,3.7857142857142856,48141,5B,48
53265,75356,4253.42,0.35,0.94,300.0,0.31,1.02,31.49,-105.96,Hudspeth,537.48,0.99,Texas,0.94,31.37,508.04,14.42,3.7857142857142856,48229,3B,48
53266,75357,4253.78,0.35,0.94,312.0,0.33,1.02,31.5,-105.83,Hudspeth,529.76,0.99,Texas,0.94,34.67,502.46,23.63,3.7857142857142856,48229,3B,48
53267,75358,4246.08,0.35,0.94,300.0,0.39,1.02,31.52,-105.71,Hudspeth,502.56,0.99,Texas,0.94,39.93,496.9,29.16,3.7857142857142856,48229,3B,48
53268,75359,4253.44,0.35,0.94,294.0,0.38,1.02,31.52,-105.58,Hudspeth,498.99,0.99,Texas,0.94,46.43,491.51,39.12,3.7857142857142856,48229,3B,48
53269,75360,4248.91,0.35,0.94,300.0,0.34,1.02,31.54,-105.45,Hudspeth,474.16,0.99,Texas,0.94,53.59,486.22,40.5,3.7857142857142856,48229,3B,48
53270,75361,4252.53,0.35,0.94,306.0,0.3,1.02,31.54,-105.33,Hudspeth,456.27,0.99,Texas,0.94,60.61,481.09,38.78,3.7857142857142856,48229,3B,48
53271,75362,4253.98,0.35,0.94,300.0,0.32,1.02,31.55,-105.2,Hudspeth,397.1,0.99,Texas,0.94,67.91,476.0,42.07,3.7857142857142856,48229,3B,48
53272,75363,4252.73,0.35,0.94,306.0,0.38,1.02,31.56,-105.08,Hudspeth,334.99,0.99,Texas,0.94,75.4,470.98,49.35,3.7857142857142856,48229,3B,48
53273,75364,4176.56,0.35,0.94,288.0,0.31,1.02,31.57,-104.95,Hudspeth,150.84,0.99,Texas,0.94,82.42,466.19,59.01,3.7857142857142856,48229,3B,48
53274,75365,4237.14,0.35,0.94,288.0,0.35,1.02,31.58,-104.82,Culberson,0.0,0.0,Texas,0.94,89.58,461.5,59.93,3.7857142857142856,48109,3B,48
53275,75366,4248.38,0.35,0.94,294.0,0.45,1.02,31.59,-104.7,Culberson,0.0,0.0,Texas,0.94,96.74,456.84,62.6,3.7857142857142856,48109,3B,48
53276,75367,4250.01,0.34,0.94,318.0,0.46,1.02,31.6,-104.57,Culberson,0.0,0.0,Texas,0.94,20.07,452.4,68.02,3.7857142857142856,48109,3B,48
53277,75368,4252.57,0.34,0.94,294.0,0.4,1.02,31.61,-104.44,Culberson,0.0,0.0,Texas,0.94,13.79,448.13,63.95,3.7857142857142856,48109,3B,48
53278,75369,4236.8,0.34,0.94,288.0,0.39,1.02,31.62,-104.32,Culberson,0.0,0.0,Texas,0.94,10.66,443.95,51.23,3.7857142857142856,48109,3B,48
53279,75370,4221.09,0.34,0.94,288.0,0.37,1.02,31.63,-104.19,Culberson,0.0,0.0,Texas,0.94,99.0,439.87,39.32,3.7857142857142856,48109,3B,48
