location,value
48221,"{'ba': 'p63', 'county_name': 'hood', 'state': 'TX'}"
48223,"{'ba': 'p63', 'county_name': 'hopkins', 'state': 'TX'}"
48225,"{'ba': 'p63', 'county_name': 'houston', 'state': 'TX'}"
48231,"{'ba': 'p63', 'county_name': 'hunt', 'state': 'TX'}"
48237,"{'ba': 'p63', 'county_name': 'jack', 'state': 'TX'}"
48251,"{'ba': 'p63', 'county_name': 'johnson', 'state': 'TX'}"
48257,"{'ba': 'p63', 'county_name': 'kaufman', 'state': 'TX'}"
48277,"{'ba': 'p63', 'county_name': 'lamar', 'state': 'TX'}"
48281,"{'ba': 'p63', 'county_name': 'lampasas', 'state': 'TX'}"
48289,"{'ba': 'p63', 'county_name': 'leon', 'state': 'TX'}"
48293,"{'ba': 'p63', 'county_name': 'limestone', 'state': 'TX'}"
48307,"{'ba': 'p63', 'county_name': 'mcculloch', 'state': 'TX'}"
48309,"{'ba': 'p63', 'county_name': 'mclennan', 'state': 'TX'}"
48313,"{'ba': 'p63', 'county_name': 'madison', 'state': 'TX'}"
48331,"{'ba': 'p63', 'county_name': 'milam', 'state': 'TX'}"
48333,"{'ba': 'p63', 'county_name': 'mills', 'state': 'TX'}"
48337,"{'ba': 'p63', 'county_name': 'montague', 'state': 'TX'}"
48349,"{'ba': 'p63', 'county_name': 'navarro', 'state': 'TX'}"
48363,"{'ba': 'p63', 'county_name': 'palo pinto', 'state': 'TX'}"
48367,"{'ba': 'p63', 'county_name': 'parker', 'state': 'TX'}"
48379,"{'ba': 'p63', 'county_name': 'rains', 'state': 'TX'}"
48387,"{'ba': 'p63', 'county_name': 'red river', 'state': 'TX'}"
48395,"{'ba': 'p63', 'county_name': 'robertson', 'state': 'TX'}"
48397,"{'ba': 'p63', 'county_name': 'rockwall', 'state': 'TX'}"
48401,"{'ba': 'p63', 'county_name': 'rusk', 'state': 'TX'}"
48411,"{'ba': 'p63', 'county_name': 'san saba', 'state': 'TX'}"
48417,"{'ba': 'p63', 'county_name': 'shackelford', 'state': 'TX'}"
48423,"{'ba': 'p63', 'county_name': 'smith', 'state': 'TX'}"
48425,"{'ba': 'p63', 'county_name': 'somervell', 'state': 'TX'}"
48429,"{'ba': 'p63', 'county_name': 'stephens', 'state': 'TX'}"
48439,"{'ba': 'p63', 'county_name': 'tarrant', 'state': 'TX'}"
48447,"{'ba': 'p63', 'county_name': 'throckmorton', 'state': 'TX'}"
48467,"{'ba': 'p63', 'county_name': 'van zandt', 'state': 'TX'}"
48485,"{'ba': 'p63', 'county_name': 'wichita', 'state': 'TX'}"
48497,"{'ba': 'p63', 'county_name': 'wise', 'state': 'TX'}"
48499,"{'ba': 'p63', 'county_name': 'wood', 'state': 'TX'}"
48503,"{'ba': 'p63', 'county_name': 'young', 'state': 'TX'}"
48015,"{'ba': 'p64', 'county_name': 'austin', 'state': 'TX'}"
48019,"{'ba': 'p64', 'county_name': 'bandera', 'state': 'TX'}"
48021,"{'ba': 'p64', 'county_name': 'bastrop', 'state': 'TX'}"
48031,"{'ba': 'p64', 'county_name': 'blanco', 'state': 'TX'}"
48041,"{'ba': 'p64', 'county_name': 'brazos', 'state': 'TX'}"
48051,"{'ba': 'p64', 'county_name': 'burleson', 'state': 'TX'}"
48053,"{'ba': 'p64', 'county_name': 'burnet', 'state': 'TX'}"
48055,"{'ba': 'p64', 'county_name': 'caldwell', 'state': 'TX'}"
48089,"{'ba': 'p64', 'county_name': 'colorado', 'state': 'TX'}"
48091,"{'ba': 'p64', 'county_name': 'comal', 'state': 'TX'}"
