hour,location,value
86,48019,2460.0755759999997
87,48019,2459.65368
88,48019,2223.180972
89,48019,1095.242016
90,48019,10.336452
91,48019,0.0
92,48019,0.0
93,48019,0.0
94,48019,0.0
95,48019,0.0
0,48021,0.0
1,48021,0.0
2,48021,0.0
3,48021,0.0
4,48021,0.0
5,48021,0.0
6,48021,0.0
7,48021,0.0
8,48021,585.3293839999995
9,48021,1881.300382
10,48021,2198.6232870000003
11,48021,2255.4180235
12,48021,2159.008453
13,48021,2159.6148024999998
14,48021,2231.7703930000002
15,48021,2249.152412
16,48021,1893.4273719999999
17,48021,700.535789
18,48021,0.0
19,48021,0.0
20,48021,0.0
21,48021,0.0
22,48021,0.0
23,48021,0.0
24,48021,0.0
25,48021,0.0
26,48021,0.0
27,48021,0.0
28,48021,0.0
29,48021,0.0
30,48021,0.0
31,48021,297.7176045
32,48021,1032.411082
33,48021,1444.324509
34,48021,1876.045353
35,48021,2243.8973829999995
36,48021,2381.9429525
37,48021,2429.8445629999997
38,48021,2469.055164
39,48021,2288.9693624999995
40,48021,2052.0888244999996
41,48021,1591.6674375
42,48021,609.3812475
43,48021,0.0
44,48021,0.0
45,48021,0.0
46,48021,0.0
47,48021,0.0
48,48021,0.0
49,48021,0.0
50,48021,0.0
51,48021,0.0
52,48021,0.0
53,48021,0.0
54,48021,94.7926385
55,48021,1337.8091135
56,48021,2518.9779395000005
57,48021,2865.0013875
58,48021,2966.8681035
59,48021,2965.2511715
60,48021,2937.965444
61,48021,2914.9241629999997
62,48021,2897.7442605
63,48021,2857.7251935
64,48021,2760.7092734999997
65,48021,2460.7683875
66,48021,1460.898062
67,48021,185.138714
68,48021,0.0
69,48021,0.0
70,48021,0.0
71,48021,0.0
72,48021,0.0
73,48021,0.0
74,48021,0.0
75,48021,0.0
76,48021,0.0
77,48021,0.0
78,48021,0.0
79,48021,199.286869
80,48021,1688.077008
81,48021,2396.293224
82,48021,2390.229729
83,48021,2410.845612
84,48021,2332.828643
85,48021,2295.6392069999997
86,48021,2340.913303
87,48021,2336.8709729999996
88,48021,2002.570282
89,48021,747.83105
90,48021,0.0
91,48021,0.0
92,48021,0.0
93,48021,0.0
94,48021,0.0
95,48021,0.0
0,48023,0.0
1,48023,0.0
2,48023,0.0
3,48023,0.0
4,48023,0.0
5,48023,0.0
6,48023,0.0
7,48023,0.0
8,48023,194.897916
9,48023,1704.218826
10,48023,2370.637284
11,48023,2320.9817639999997
12,48023,2173.670388
13,48023,2143.2563819999996
14,48023,2159.601324
15,48023,2271.1193460000004
16,48023,1972.9793280000001
17,48023,521.5898579999999
18,48023,0.0
19,48023,0.0
20,48023,0.0
21,48023,0.0
22,48023,0.0
23,48023,0.0
24,48023,0.0
25,48023,0.0
26,48023,0.0
27,48023,0.0
28,48023,0.0
